y/h,U/Ur
0.1,0.418
0.15,0.433
0.2,0.447
0.3,0.471
0.4,0.496
0.5,0.526
0.6,0.56
0.7,0.596
0.8,0.638
0.9,0.676
1,0.712
1.1,0.745
1.15,0.758
1.2,0.772
1.3,0.798
1.4,0.819
1.5,0.839
1.7,0.871
2,0.908
2.4,0.929
2.8,0.933
3.2,0.937
3.6,0.939
4,0.94
5,0.944
6,0.947
7.5,0.949
8.2,0.827
