y/h,U/Ur
0.1,-0.171
0.15,-0.154
0.2,-0.134
0.3,-0.057
0.4,0.052
0.5,0.169
0.6,0.279
0.7,0.381
0.8,0.473
0.9,0.568
1,0.656
1.1,0.73
1.15,0.754
1.2,0.778
1.3,0.811
1.4,0.835
1.5,0.856
1.7,0.895
2,0.94
2.4,0.978
2.8,0.986
3.2,0.984
3.6,0.985
4,0.985
5,0.983
6,0.98
7.5,0.98
8.2,0.892
