y/h,U/Ur
0.1,0.147
0.15,0.169
0.2,0.188
0.3,0.248
0.4,0.306
0.5,0.369
0.6,0.435
0.7,0.501
0.8,0.569
0.9,0.632
1,0.686
1.1,0.73
1.15,0.747
1.2,0.763
1.3,0.794
1.4,0.815
1.5,0.834
1.7,0.869
2,0.915
2.4,0.949
2.8,0.954
3.2,0.956
3.6,0.959
4,0.961
5,0.963
6,0.965
7.5,0.969
8.2,0.87
