Block Name,Point ID,vtkOriginalCellIds,mu_t,object_id,Points_0,Points_1,Points_2,Points_Magnitude,pressure,TKE,TKED,vel_0,vel_1,vel_Magnitude,yplus
region,40,4425,0.00726502,9,0.0505,0.0115309,0,0.0517997,-136.972,7.16441,753.039,41.1848,-3.40163,41.3251,0
region,41,4517,0.00766165,9,0.0505,0.0130191,0,0.0521512,-136.076,6.90827,663.894,41.712,-3.29437,41.8419,0
region,42,4609,0.0080285,9,0.0505,0.0145607,0,0.0525573,-135.151,6.64557,586.281,42.2112,-3.1873,42.3314,0
region,43,4701,0.00836439,9,0.0505,0.0161554,0,0.0530212,-134.202,6.37692,518.152,42.6845,-3.0809,42.7955,0
region,44,4793,0.00866894,9,0.0505,0.0178025,0,0.053546,-133.233,6.10316,457.94,43.1334,-2.97556,43.2359,0
region,45,4885,0.00894264,9,0.0505,0.0195011,0,0.0541345,-132.247,5.82546,404.442,43.5589,-2.87159,43.6534,0
region,46,4977,0.00918705,9,0.0505,0.0212501,0,0.0547888,-131.251,5.54532,356.727,43.9616,-2.76924,44.0487,0
region,47,5069,0.0094049,9,0.0505,0.023048,0,0.0555109,-130.249,5.26463,314.078,44.3416,-2.66869,44.4218,0
region,48,5161,0.00960021,9,0.0505,0.024893,0,0.056302,-129.243,4.98572,275.95,44.6987,-2.57007,44.7725,0
region,49,5253,0.00977842,9,0.0505,0.0267833,0,0.0571629,-128.24,4.71141,241.928,45.0324,-2.47348,45.1003,0
region,50,5345,0.0099462,9,0.0505,0.0287163,0,0.0580937,-127.242,4.44497,211.706,45.3418,-2.37896,45.4042,0
region,51,5437,0.0101111,9,0.0505,0.0306897,0,0.059094,-126.253,4.19013,185.058,45.6259,-2.28654,45.6832,0
region,52,5529,0.0102809,9,0.0505,0.0327004,0,0.0601628,-125.276,3.95094,161.817,45.8836,-2.19622,45.9361,0
region,53,5621,0.0104619,9,0.0505,0.0347454,0,0.0612984,-124.316,3.7316,141.851,46.1137,-2.10798,46.1619,0
region,54,5713,0.0106574,9,0.0505,0.0368213,0,0.0624984,-123.375,3.53618,125.046,46.3152,-2.02182,46.3593,0
region,55,5805,0.0108652,9,0.0505,0.0389244,0,0.0637602,-122.457,3.36833,111.287,46.4873,-1.9377,46.5277,0
region,56,5897,0.0110759,9,0.0505,0.0410509,0,0.0650802,-121.565,3.23101,100.449,46.6297,-1.85561,46.6666,0
region,57,5989,0.0112728,9,0.0505,0.0431969,0,0.0664547,-120.704,3.12637,92.4055,46.7423,-1.77555,46.776,0
region,58,6081,0.0114341,9,0.0505,0.0453582,0,0.0678794,-119.876,3.05576,87.0337,46.8252,-1.69748,46.8559,0
region,59,6173,0.0115381,9,0.0505,0.0475305,0,0.0693498,-119.086,3.01997,84.2406,46.8785,-1.6214,46.9066,0
region,60,6265,0.0115697,9,0.0505,0.0497094,0,0.070861,-118.336,3.01945,83.9814,46.9024,-1.54726,46.9279,0
region,61,6357,0.0115255,9,0.0505,0.0518906,0,0.0724077,-117.625,3.05455,86.2747,46.8966,-1.47502,46.9197,0
region,62,6449,0.0114146,9,0.0505,0.0540695,0,0.0739849,-116.956,3.12551,91.2072,46.8603,-1.40463,46.8814,0
region,63,6541,0.0112558,9,0.0505,0.0562418,0,0.075587,-116.325,3.23234,98.925,46.793,-1.33602,46.8121,0
region,64,6633,0.0110713,9,0.0505,0.0584031,0,0.0772086,-115.734,3.37454,109.617,46.6938,-1.26913,46.7111,0
region,65,6725,0.0108807,9,0.0505,0.0605491,0,0.0788444,-115.18,3.55079,123.493,46.5622,-1.20391,46.5778,0
region,66,6817,0.0106969,9,0.0505,0.0626756,0,0.080489,-114.662,3.75885,140.767,46.3981,-1.1403,46.4121,0
region,67,6909,0.0105252,9,0.0505,0.0647787,0,0.0821373,-114.181,3.99557,161.65,46.2016,-1.07828,46.2142,0
region,68,7001,0.0103642,9,0.0505,0.0668546,0,0.0837842,-113.735,4.25711,186.355,45.9735,-1.01781,45.9847,0
region,69,7093,0.0102082,9,0.0505,0.0688996,0,0.0854248,-113.323,4.53931,215.119,45.7145,-0.958879,45.7245,0
region,70,7185,0.0100491,9,0.0505,0.0709103,0,0.0870547,-112.947,4.83795,248.225,45.4255,-0.901459,45.4344,0
region,71,7277,0.00987818,9,0.0505,0.0728837,0,0.0886695,-112.603,5.14905,286.04,45.1074,-0.845531,45.1153,0
region,72,7369,0.00968749,9,0.0505,0.0748167,0,0.0902651,-112.293,5.46905,329.049,44.7608,-0.79107,44.7678,0
region,73,7461,0.00947009,9,0.0505,0.076707,0,0.0918379,-112.015,5.79485,377.902,44.3861,-0.738052,44.3922,0
region,74,7553,0.00922046,9,0.0505,0.078552,0,0.0933845,-111.766,6.12388,433.461,43.983,-0.686444,43.9884,0
region,75,7645,0.00893449,9,0.0505,0.0803499,0,0.0949018,-111.548,6.45409,496.877,43.5511,-0.636215,43.5557,0
region,76,7737,0.0086094,9,0.0505,0.0820989,0,0.0963871,-111.357,6.78386,569.678,43.0892,-0.587327,43.0932,0
region,77,7829,0.00824356,9,0.0505,0.0837975,0,0.097838,-111.192,7.11198,653.905,42.5956,-0.539741,42.5991,0
region,78,7921,0.00783632,9,0.0505,0.0854446,0,0.0992524,-111.052,7.4376,752.319,42.0677,-0.493419,42.0706,0
region,79,8013,0.00738784,9,0.0505,0.0870393,0,0.100628,-110.936,7.76019,868.713,41.5019,-0.448323,41.5043,0
region,80,8105,0.00689882,9,0.0505,0.0885809,0,0.101965,-110.842,8.07964,1008.46,40.8934,-0.40442,40.8954,0
region,81,8197,0.00637023,9,0.0505,0.0900691,0,0.10326,-110.768,8.39672,1179.54,40.2356,-0.361681,40.2373,0
region,82,8289,0.00580291,9,0.0505,0.0915037,0,0.104514,-110.713,8.71427,1394.65,39.5198,-0.320081,39.5211,0
region,83,8381,0.00519776,9,0.0505,0.0928849,0,0.105725,-110.675,9.04034,1675.73,38.7331,-0.279565,38.7341,0
region,84,8473,0.00455713,9,0.0505,0.0942128,0,0.106894,-110.653,9.39476,2064.09,37.856,-0.240008,37.8568,0
region,85,8565,0.0038896,9,0.0505,0.095488,0,0.108019,-110.645,9.82365,2644.17,36.8577,-0.201162,36.8583,0
region,86,8657,0.0032201,9,0.0505,0.0967111,0,0.109102,-110.647,10.4346,3603.54,35.6889,-0.162439,35.6893,0
region,87,8749,0.00260598,9,0.0505,0.0978828,0,0.110142,-110.669,11.4994,5407.88,34.2808,-0.124292,34.281,0
region,88,8841,0.00215361,9,0.0505,0.0990042,0,0.11114,-110.653,13.7968,9419.79,32.5842,-0.0833998,32.5843,0
region,89,8934,0.00200218,9,0.0505,0.100076,0,0.112096,-110.753,19.5726,20391.2,30.6977,-0.0513678,30.6977,0
region,90,9024,0.000281512,9,0.0505,0.1011,0,0.113011,-110.829,10.6748,32415.8,23.3562,-0.0134869,23.3562,57.115
