"Region: Body 1.wall: Centroid[X] (m)","Region: Body 1.wall: Pressure (Pa)"
0.05286933855445938,-58.09294043692776
0.05122505890620255,-69.5771909211245
0.04959907565826255,-81.80258821423486
0.04799133239514579,-94.67615815885763
0.046401768381801434,-108.18397253829725
0.0448303186898001,-122.2459311834603
-0.04846379845877169,-213.212036654611
0.0432769143233232,-136.76163314599657
-0.04542571492603607,-213.58086497836194
0.0417414823448371,-151.61439983112263
-0.04245550377596648,-214.20715735651922
0.04022394600033172,-166.66800071943433
-0.03955164870386649,-215.0431509974241
0.038724224844007074,-181.77753588678107
-0.036712667280083454,-216.0658213888488
0.0372422348622969,-196.78017369506384
-0.03393711019322218,-217.2866753957507
0.03577788859712336,-211.50437021155832
-0.031223560510265702,-218.71062271504752
0.034331095268281056,-225.7742073666276
-0.02857063295322524,-220.34156139692786
0.03290176089485401,-239.4124812832796
-0.025976973191950265,-222.18802828551065
0.031489788415574066,-252.25172312335621
-0.02344125715273753,-224.2624328160381
0.030095077808033485,-264.13786011386327
-0.020962190342386125,-226.5812035676627
0.028717526206669897,-274.94004043480953
-0.018538507187353535,-229.16555492310832
0.027357028019445603,-284.52812271935926
-0.016168970387675247,-232.04394277290936
0.026013475043148757,-292.8525864175488
-0.013852370285318162,-235.25512576365745
0.02468675657724788,-299.9165392253756
-0.011587524246645338,-238.8516416677655
0.023376759536235497,-305.5237448273377
-0.00937327605867677,-242.90232048345703
0.02208336856040191,-309.919499169833
-0.007208495338838023,-247.52888473868575
0.02080646612498338,-313.18634406703484
-0.005092076957895403,-252.8660701691246
0.01954593264763395,-315.3916737134311
-0.003022940475783057,-259.51433910320424
0.01830164659417384,-316.68873708043566
-0.0010000295900339854,-267.12829671321117
0.017073484582571352,-317.27316479884945
0.015861321485119803,-317.207918390744
0.0,-303.82298391199424
0.01466503052877366,-316.6197807247901
0.0,-305.2566519949913
0.013484483393612343,-315.66735258265214
0.0,-303.18109325723356
0.01231955030940432,-314.39957568115517
0.0,-302.4000080125772
0.011170100150246581,-312.89287106528553
0.0,-301.4517761690358
0.010036000527258171,-311.1996427433815
0.0,-300.50405286338207
0.00891711787931014,-309.35265175027445
0.0,-299.36516012456855
0.007813317561777222,-307.36867508933955
0.0,-298.0851721211608
0.006724463933299285,-305.2591199764346
0.0,-296.70922362163765
0.005650420440543563,-303.03932385579395
0.0,-295.32058276708085
0.0045910497009616635,-300.74484124263853
0.0,-294.0436766173861
0.0035462135835380437,-298.4033550085993
0.0,-293.05795205575726
0.0025157732875286942,-296.20135976759775
0.0,-292.60440700870925
0.0014995894191917603,-294.17324182670774
0.0,-292.7640817328989
0.0,-293.02311284921126
4.975220665138919E-4,-293.49527891068084
0.054531966572731794,-47.43419578363392
0.05621299035876247,-37.71686936733043
0.05791245261239307,-28.678114586966164
0.05963039120997983,-20.584384471902585
0.061366839079319335,-13.158984775472675
0.06312182407523738,-6.614140784686271
0.06489536885599886,-0.807142988381601
0.06668749076070081,4.306032503905464
0.06849820168781445,8.786017825279295
0.07032750797504604,12.678466399336129
0.07217541028069001,16.03406985197712
0.07404190346665146,18.898612458589557
0.0759269764833179,21.30959411980406
0.077830612256464,23.314894495750853
0.0797527875763749,24.95882698044478
0.08169347298937676,26.27791944018892
0.08365263269196524,27.308320898265823
0.08563022442772474,28.093462531429843
0.08762619938723223,28.651678408379187
0.08964050211114173,29.010466313303674
0.0916730703966455,29.18990262649355
0.09372383520750903,29.214522356981426
0.09579272058787736,29.106067252503422
0.09787964358004916,28.883457059422412
0.09998451414641521,28.563320850345466
0.10210723509575688,28.161131794651315
0.10424770201409805,27.687563490281494
0.10640580320030245,27.164594854600224
0.10858141960660632,26.59005607713652
0.1107744247842728,25.9751752992166
0.11298468483455178,25.329491128278057
0.11521205836512448,24.66048090128917
0.11745639645220847,23.97434958700405
0.11971754260849385,23.276490469685285
0.1219953327570755,22.57175379794172
0.12428959521154159,21.864026626907766
0.12660015066237146,21.156437174254194
0.12892681216978952,20.45216166064156
0.13126938516321485,19.753611375294213
0.13362766744743804,19.06373418427628
0.1360014492156491,18.384188713893128
0.13839051306943106,17.716526143104012
0.14079463404582548,17.0620852449705
0.14321357965156578,16.421885353923656
0.14564710990456484,15.796637916543435
0.148094977382733,15.186837881334576
0.15055692728019102,14.592902792154984
0.1530326974709323,14.015023670795088
0.15552201857997666,13.453150999844665
0.1580246140620461,12.907280630188648
0.16054020028778065,12.377413001908028
0.16306848663750054,11.863481132049579
0.1656091756025071,11.365299019393508
0.1681619628939033,10.88268462834105
0.17072653755890013,10.415404678271425
0.17330258210456262,9.962883093669388
0.17588977262893588,9.524773784236983
0.17848777895947748,9.100682663398079
0.18109626479870905,8.690018659903199
0.18371488787698653,8.29214553114071
0.18634330011227473,7.906424147922555
0.18898114777679786,7.532163462143661
0.19162807167042528,7.168731781188472
0.19428370730063693,6.815513546853725
0.19694768506890054,6.471846423829404
0.19961963046328018,6.137046262859443
0.20229916425708147,5.810450453212611
0.20498590271332756,5.491379380900525
0.20767945779484753,5.179103342729531
0.21037943737974657,4.872870465716582
0.21308544548201713,4.57188906455103
0.21579708247703716,4.275352950079387
0.21851394533169344,3.9823804440792596
0.2212356278388566,3.6920491989701434
0.2239617208559248,3.403354970434923
0.22669181254714527,3.115333691302328
0.22942548862941375,2.8265823454818455
0.23216233262124425,2.5363344254912055
0.23490192609459493,2.241258277536541
0.23764384892922916,1.9435201831207147
0.2403876795692855,1.6274389055074947
0.2431329952817251,1.31867397713284
0.24587937241632116,0.9124985420351239
