Points_0,Points_1,vel_0
0.013125,-0.00932167,-3.11115
0.011875,-0.008925,-2.5959
0.010625,-0.00852833,-2.11676
0.009375,-0.00813167,-1.67693
0.008125,-0.007735,-1.2797
0.006875,-0.00733833,-0.927026
0.005625,-0.00694167,-0.623719
0.004375,-0.006545,-0.37726
0.003125,-0.00614833,-0.202426
0.001875,-0.00575167,-0.127861
0.000625,-0.005355,-0.093508
-0.0312236,0.0005,26.0332
-0.0339371,0.0015238,32.4595
-0.0367127,0.00259581,34.4169
-0.0395516,0.00371717,36.0513
-0.0424555,0.00488893,37.4147
-0.0454257,0.006112,38.5217
-0.0484638,0.00738718,39.4853
0.023125,-0.0123,-8.35839
0.021875,-0.0117017,-6.91788
0.020625,-0.011305,-6.32618
0.019375,-0.0109083,-5.72052
0.018125,-0.0105117,-5.1129
0.016875,-0.010115,-4.51273
0.015625,-0.00971833,-3.92841
0.014375,-0.00932167,-3.36688
0.013125,-0.008925,-2.83423
0.011875,-0.00852833,-2.33525
0.010625,-0.00813167,-1.87408
0.009375,-0.007735,-1.45358
0.008125,-0.00733833,-1.07665
0.006875,-0.00694167,-0.745231
0.005625,-0.006545,-0.464121
0.004375,-0.00614833,-0.241039
0.003125,-0.00575167,-0.0959833
0.001875,-0.005355,-0.0436396
0.000625,-0.00495833,-0.0673721
-0.0285706,0.0005,26.1958
-0.0312236,0.0015238,32.4278
-0.0339371,0.00259581,34.4217
-0.0367127,0.00371717,36.1054
-0.0395516,0.00488893,37.4192
-0.0424555,0.006112,38.5387
-0.0454257,0.00738718,39.4918
-0.0484638,0.00871511,40.338
0.024375,-0.0123,-8.64112
0.023125,-0.0117017,-7.17416
0.021875,-0.011305,-6.59514
0.020625,-0.0109083,-5.99582
0.019375,-0.0105117,-5.38863
0.018125,-0.010115,-4.78401
0.016875,-0.00971833,-4.19079
0.015625,-0.00932167,-3.61676
0.014375,-0.008925,-3.06846
0.013125,-0.00852833,-2.55148
0.011875,-0.00813167,-2.07012
0.010625,-0.007735,-1.62802
0.009375,-0.00733833,-1.22762
0.008125,-0.00694167,-0.871514
0.006875,-0.006545,-0.561677
0.005625,-0.00614833,-0.302821
0.004375,-0.00575167,-0.102359
0.003125,-0.005355,0.0141425
0.001875,-0.00495833,0.0456054
0.000625,-0.00456167,-0.0237101
-0.025977,0.0005,26.0223
-0.0285706,0.0015238,32.5789
-0.0312236,0.00259581,34.4994
-0.0339371,0.00371717,36.107
-0.0367127,0.00488893,37.4521
-0.0395516,0.006112,38.5505
-0.0424555,0.00738718,39.5051
-0.0454257,0.00871511,40.3448
-0.0484638,0.0100963,41.103
0.025625,-0.0123,-8.89308
0.024375,-0.0117017,-7.40268
0.023125,-0.011305,-6.8405
0.021875,-0.0109083,-6.25102
0.020625,-0.0105117,-5.64786
0.019375,-0.010115,-5.04179
0.018125,-0.00971833,-4.44249
0.016875,-0.00932167,-3.85829
0.015625,-0.008925,-3.29652
0.014375,-0.00852833,-2.76324
0.013125,-0.00813167,-2.26353
0.011875,-0.007735,-1.80115
0.010625,-0.00733833,-1.37915
0.009375,-0.00694167,-0.999567
0.008125,-0.006545,-0.664779
0.006875,-0.00614833,-0.376871
0.005625,-0.00575167,-0.140262
0.004375,-0.005355,0.0387049
0.003125,-0.00495833,0.128515
0.001875,-0.00456167,0.140438
0.000625,-0.004165,-0.00092979
-0.0234413,0.0005,26.165
-0.025977,0.0015238,32.587
-0.0285706,0.00259581,34.5199
-0.0312236,0.00371717,36.1668
-0.0339371,0.00488893,37.4675
-0.0367127,0.006112,38.574
-0.0395516,0.00738718,39.5188
-0.0424555,0.00871511,40.3564
-0.0454257,0.0100963,41.1095
-0.0484638,0.0115309,41.7986
0.026875,-0.0123,-9.10984
0.025625,-0.0117017,-7.60085
0.024375,-0.011305,-7.05896
0.023125,-0.0109083,-6.48314
0.021875,-0.0105117,-5.88744
0.020625,-0.010115,-5.2833
0.019375,-0.00971833,-4.68077
0.018125,-0.00932167,-4.08897
0.016875,-0.008925,-3.51586
0.015625,-0.00852833,-2.96829
0.014375,-0.00813167,-2.45184
