"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.9519,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6175e-05,-0.95198,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015241,-0.95205,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022858,-0.95213,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00030482,-0.9522,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00038099,-0.95228,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00045723,-0.95236,0,-1.3716
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0005334,-0.95243,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00060958,-0.95251,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00068581,-0.95259,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00076199,-0.95266,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00083822,-0.95274,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00091439,-0.95281,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.00099063,-0.95289,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.0010668,-0.95297,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.001143,-0.95304,0,-1.3716
650.27,0.69894,-0.00063162,-0.008391,-4.7463,4.7463,-0.00063162,-0.008391,-4.7463,1,0.0012192,-0.95312,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0012954,-0.9532,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0013716,-0.95327,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0014478,-0.95335,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.001524,-0.95342,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0016002,-0.9535,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0016764,-0.95358,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0017526,-0.95365,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0018288,-0.95373,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.001905,-0.95381,0,-1.3716
276.9,0.8033,-0.0036836,-0.01007,-6.009,6.009,-0.0036836,-0.01007,-6.009,1,0.0019812,-0.95388,0,-1.3716
149.81,0.74264,-0.0070804,-0.010435,-6.6301,6.6301,-0.0070804,-0.010435,-6.6301,1,0.0020574,-0.95396,0,-1.3716
149.81,0.74264,-0.0070804,-0.010435,-6.6301,6.6301,-0.0070804,-0.010435,-6.6301,1,0.0021336,-0.95403,0,-1.3716
149.81,0.74264,-0.0070804,-0.010435,-6.6301,6.6301,-0.0070804,-0.010435,-6.6301,1,0.0022098,-0.95411,0,-1.3716
