"Line Probe: Centroid[X] (m)","Line Probe: Velocity[k] (m/s)"
0.001016000000000004,11.51905200092952
0.001016000000000004,11.51905200092952
0.0020320000000000056,11.514150283897525
0.003048000000000005,11.505957934775195
0.004064000000000005,11.494440832182958
0.004064000000000005,11.494440832182958
0.0050800000000000055,11.479552493364096
0.0060960000000000025,11.461235136622753
0.007112,11.439420712305088
0.007112,11.439420712305088
0.008128,11.41403166293739
0.009143999999999996,11.384981108649509
0.010159999999999999,11.352171977482318
0.010159999999999999,11.352171977482318
0.011175999999999998,11.315493837957188
0.012192,11.274818834771967
0.012630192215525542,11.255728859744973
0.013464877519761609,11.217824999523852
0.014504605973160126,11.166516996477034
0.015116581241661603,11.134138536196298
0.015799617781374394,11.09603944702332
0.01656176756132737,11.051013394823466
0.017412379394617695,10.997515632638889
0.018361573594955802,10.933593725777476
0.019420789798668278,10.856710213622302
0.019420789798668278,10.856710213622302
0.020602825127963877,10.763516752224403
0.020602825127963877,10.763516752224403
0.021921923047111946,10.649495276182519
0.0233939586778731,10.508353393189802
0.0233939586778731,10.508353393189802
0.02503672210393677,10.330942587794683
0.02503672210393677,10.330942587794683
0.02503672210393677,10.330942587794683
0.02687000675568903,10.103216310274401
0.02687000675568903,10.103216310274401
0.028915906138808845,9.80193250506542
0.028915906138808845,9.80193250506542
0.028915906138808845,9.80193250506542
0.031199140020354538,9.384824062444704
0.031199140020354538,9.384824062444704
0.031199140020354538,9.384824062444704
0.03374723922204007,8.769033543374837
0.03374723922204007,8.769033543374837
0.03374723922204007,8.769033543374837
0.03374723922204007,8.769033543374837
0.03659149621043033,7.334914748826572
0.03659149621043033,7.334914748826572
0.03659149621043033,7.334914748826572
0.03659149621043033,7.334914748826572
-0.0050799999999999994,11.47955689349422
-0.004064000000000001,11.494444139156174
-0.004064000000000001,11.494444139156174
-0.0030480000000000004,11.505960275066558
-0.0020320000000000004,11.514151771902679
-0.0010159999999999987,11.519052721996992
-0.0010159999999999987,11.519052721996992
3.1398757955278553E-18,11.520683756120821
-0.03659149621043031,7.3349012724104075
-0.03659149621043031,7.3349012724104075
-0.03659149621043031,7.3349012724104075
-0.03659149621043031,7.3349012724104075
-0.033747239222040065,8.769019036138912
-0.033747239222040065,8.769019036138912
-0.033747239222040065,8.769019036138912
-0.033747239222040065,8.769019036138912
-0.031199140020354538,9.384811897158466
-0.031199140020354538,9.384811897158466
-0.031199140020354538,9.384811897158466
-0.028915906138808848,9.801922869286411
-0.028915906138808848,9.801922869286411
-0.028915906138808848,9.801922869286411
-0.026870006755689034,10.103209101716365
-0.026870006755689034,10.103209101716365
-0.02503672210393677,10.330937639649388
-0.02503672210393677,10.330937639649388
-0.02503672210393677,10.330937639649388
-0.023393958677873115,10.508350561755757
-0.023393958677873115,10.508350561755757
-0.021921923047111953,10.649494446098142
-0.02060282512796388,10.76351783062406
-0.02060282512796388,10.76351783062406
-0.01942078979866828,10.856713095811507
-0.01942078979866828,10.856713095811507
-0.018361573594955813,10.933598283874131
-0.017412364074897036,10.997522301591614
-0.016561755073477007,11.05102098200969
-0.01579960834918936,11.096047804283732
-0.015116574193253105,11.134147543931745
-0.014504601409543653,11.166526488990483
-0.013464876835869699,11.217835095043347
-0.012630192215525545,11.255739991946683
-0.012192000000000007,11.274830012380281
-0.011176000000000005,11.31550480682293
-0.010160000000000006,11.352182312239906
-0.010160000000000006,11.352182312239906
-0.009144000000000003,11.3849904732826
-0.008128,11.41403984041981
-0.007112000000000004,11.439427604027427
-0.007112000000000004,11.439427604027427
-0.006096000000000002,11.461240745106645
