"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.67,0,0.42221
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6512e-05,-0.67003,0,0.42228
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015305,-0.67006,0,0.42235
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022959,-0.67009,0,0.42242
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.0003061,-0.67012,0,0.42249
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00038263,-0.67015,0,0.42256
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00045914,-0.67018,0,0.42264
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00053568,-0.67021,0,0.42271
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00061222,-0.67024,0,0.42278
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00068873,-0.67027,0,0.42285
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00076524,-0.6703,0,0.42292
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00084178,-0.67033,0,0.42299
467.73,0.56058,-3.5864,-0.00011888,-1.4983,3.8868,-3.5864,-0.00011888,-1.4983,1,0.00091832,-0.67036,0,0.42306
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.00099483,-0.67039,0,0.42313
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0010713,-0.67042,0,0.4232
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0011479,-0.67045,0,0.42327
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0012244,-0.67048,0,0.42334
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0013009,-0.67051,0,0.42341
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0013775,-0.67054,0,0.42348
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.001454,-0.67057,0,0.42355
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.0015305,-0.6706,0,0.42362
182.12,0.54626,-4.6394,-0.0041441,-1.9115,5.0177,-4.6394,-0.0041441,-1.9115,1,0.001607,-0.67063,0,0.42369
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0016836,-0.67066,0,0.42376
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0017601,-0.67069,0,0.42383
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0018366,-0.67072,0,0.4239
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0019131,-0.67075,0,0.42397
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0019897,-0.67078,0,0.42404
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0020662,-0.67081,0,0.42411
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0021427,-0.67084,0,0.42418
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0022192,-0.67087,0,0.42425
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0022958,-0.6709,0,0.42432
93.224,0.47743,-5.2166,-0.0080235,-2.1481,5.6415,-5.2166,-0.0080235,-2.1481,1,0.0023723,-0.67093,0,0.4244
