"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.3203,0,0.42221
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6189e-05,-0.32027,0,0.42228
838.13,0.52095,0,0,0,0,0,0,0,1,0.00015238,-0.32024,0,0.42235
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00022859,-0.32021,0,0.42242
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00030478,-0.32018,0,0.42249
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00038097,-0.32015,0,0.42256
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00045716,-0.32013,0,0.42264
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00053338,-0.3201,0,0.42271
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00060956,-0.32007,0,0.42278
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00068575,-0.32004,0,0.42285
419.07,0.52095,-3.3243,-0.011303,1.3361,3.5828,-3.3243,-0.011303,1.3361,1,0.00076194,-0.32001,0,0.42292
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.00083816,-0.31998,0,0.42299
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.00091435,-0.31995,0,0.42306
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.00099054,-0.31992,0,0.42313
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0010667,-0.31989,0,0.4232
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0011429,-0.31986,0,0.42327
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0012191,-0.31983,0,0.42334
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0012953,-0.3198,0,0.42341
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0013715,-0.31978,0,0.42348
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0014477,-0.31975,0,0.42355
177.81,0.54408,-4.314,-0.05624,1.7814,4.6677,-4.314,-0.05624,1.7814,1,0.0015239,-0.31972,0,0.42362
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0016001,-0.31969,0,0.42369
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0016763,-0.31966,0,0.42376
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0017525,-0.31963,0,0.42383
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0018287,-0.3196,0,0.4239
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0019049,-0.31957,0,0.42397
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0019811,-0.31954,0,0.42404
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0020573,-0.31951,0,0.42411
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0021334,-0.31948,0,0.42418
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0022097,-0.31945,0,0.42425
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.0022859,-0.31943,0,0.42432
102.68,0.49816,-4.8531,-0.085989,2.0371,5.264,-4.8531,-0.085989,2.0371,1,0.002362,-0.3194,0,0.4244
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0024382,-0.31937,0,0.42447
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0025144,-0.31934,0,0.42454
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0025906,-0.31931,0,0.42461
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0026668,-0.31928,0,0.42468
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.002743,-0.31925,0,0.42475
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0028192,-0.31922,0,0.42482
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0028954,-0.31919,0,0.42489
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0029716,-0.31916,0,0.42496
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0030478,-0.31913,0,0.42503
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.003124,-0.3191,0,0.4251
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0032002,-0.31908,0,0.42517
72.972,0.47146,-5.2454,-0.1099,2.2555,5.7109,-5.2454,-0.1099,2.2555,1,0.0032764,-0.31905,0,0.42524
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0033526,-0.31902,0,0.42531
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0034288,-0.31899,0,0.42538
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.003505,-0.31896,0,0.42545
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0035812,-0.31893,0,0.42552
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0036574,-0.3189,0,0.42559
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0037336,-0.31887,0,0.42566
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0038098,-0.31884,0,0.42573
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.003886,-0.31881,0,0.4258
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0039622,-0.31878,0,0.42587
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0040383,-0.31876,0,0.42594
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0041146,-0.31873,0,0.42601
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0041907,-0.3187,0,0.42608
57.903,0.4539,-5.5518,-0.12235,2.4549,6.0716,-5.5518,-0.12235,2.4549,1,0.0042669,-0.31867,0,0.42616
48.724,0.44053,-5.7943,-0.12297,2.643,6.3698,-5.7943,-0.12297,2.643,1,0.0043431,-0.31864,0,0.42623
48.724,0.44053,-5.7943,-0.12297,2.643,6.3698,-5.7943,-0.12297,2.643,1,0.0044193,-0.31861,0,0.4263
