"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.91741,0,0.17489
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6194e-05,-0.91748,0,0.17492
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015239,-0.91755,0,0.17494
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022858,-0.91762,0,0.17497
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00030478,-0.91769,0,0.175
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00038103,-0.91776,0,0.17503
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00045723,-0.91784,0,0.17506
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00053342,-0.91791,0,0.17509
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00060962,-0.91798,0,0.17512
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00068581,-0.91805,0,0.17515
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.00076201,-0.91812,0,0.17518
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.0008382,-0.91819,0,0.17521
397.74,0.50318,-1.3154,-0.039307,-3.1979,3.4581,-1.3154,-0.039307,-3.1979,1,0.0009144,-0.91826,0,0.17524
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.00099059,-0.91833,0,0.17527
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.0010668,-0.9184,0,0.17529
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.001143,-0.91847,0,0.17532
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.0012192,-0.91854,0,0.17535
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.0012954,-0.91861,0,0.17538
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.0013716,-0.91868,0,0.17541
167.41,0.52482,-1.7637,-0.048658,-4.1813,4.5383,-1.7637,-0.048658,-4.1813,1,0.0014478,-0.91875,0,0.17544
