"TurbulentDissipationRate","TurbulentKineticEnergy","Velocity:0","Velocity:1","Velocity:2","VelocityMagnitude","Velocityi","Velocityj","Velocityk","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,-0.9519,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,7.6175e-05,-0.95198,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00015241,-0.95205,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00022858,-0.95213,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00030482,-0.9522,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00038099,-0.95228,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00045723,-0.95236,0,-0.4572
nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0005334,-0.95243,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00060958,-0.95251,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00068581,-0.95259,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00076199,-0.95266,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00083822,-0.95274,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00091439,-0.95281,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.00099063,-0.95289,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.0010668,-0.95297,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.001143,-0.95304,0,-0.4572
418.86,0.52057,-0.0030989,-0.04304,-3.56,3.5603,-0.0030989,-0.04304,-3.56,1,0.0012192,-0.95312,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0012954,-0.9532,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0013716,-0.95327,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0014478,-0.95335,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.001524,-0.95342,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0016002,-0.9535,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0016764,-0.95358,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0017526,-0.95365,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0018288,-0.95373,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.001905,-0.95381,0,-0.4572
182.87,0.55983,-0.02472,-0.062066,-4.6582,4.6587,-0.02472,-0.062066,-4.6582,1,0.0019812,-0.95388,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0020574,-0.95396,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0021336,-0.95403,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0022098,-0.95411,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.002286,-0.95419,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0023622,-0.95426,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0024384,-0.95434,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0025146,-0.95441,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0025908,-0.95449,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.002667,-0.95457,0,-0.4572
103.48,0.51317,-0.052138,-0.070756,-5.2525,5.2532,-0.052138,-0.070756,-5.2525,1,0.0027432,-0.95464,0,-0.4572
