TKE renorm	TKE exp
0.000389104	4.58E-03
0.000389104	4.56E-03
0.000348141	4.54E-03
0.000348141	4.53E-03
0.000348141	4.52E-03
0.000348141	4.52E-03
0.000348141	4.52E-03
0.000348141	4.52E-03
0.000348141	4.52E-03
0.000349297	4.53E-03
0.000349297	4.53E-03
0.000349297	4.54E-03
0.000349297	4.55E-03
0.000349297	4.55E-03
0.000349297	4.56E-03
0.000349297	4.57E-03
0.000349297	4.57E-03
0.000354066	4.57E-03
0.000354066	4.57E-03
0.000354066	4.58E-03
0.000354066	4.58E-03
0.000354066	4.58E-03
0.000354066	4.58E-03
0.000354066	4.58E-03
0.000354066	4.58E-03
0.000358542	4.58E-03
0.000358542	4.58E-03
0.000358542	4.58E-03
0.000358542	4.58E-03
0.000358542	4.58E-03
0.000358542	4.58E-03
0.000358542	4.57E-03
0.000362083	4.57E-03
0.000362083	4.57E-03
0.000362083	4.57E-03
0.000362083	4.57E-03
0.000362083	4.56E-03
0.000362083	4.56E-03
0.000362083	4.56E-03
0.000362083	4.57E-03
0.00036457	4.57E-03
0.00036457	4.57E-03
0.00036457	4.57E-03
0.00036457	4.57E-03
0.00036457	4.57E-03
0.00036457	4.58E-03
0.00036457	4.58E-03
0.00036601	4.58E-03
0.00036601	4.58E-03
0.00036601	4.58E-03
0.00036601	4.58E-03
0.00036601	4.58E-03
0.00036601	4.58E-03
0.00036601	4.59E-03
0.00036601	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000366422	4.59E-03
0.000365825	4.58E-03
0.000365825	4.58E-03
0.000365825	4.57E-03
0.000365825	4.56E-03
0.000365825	4.55E-03
0.000365825	4.54E-03
0.000365825	4.54E-03
0.000364233	4.53E-03
0.000364233	4.53E-03
0.000364233	4.52E-03
0.000364233	4.52E-03
0.000364233	4.52E-03
0.000364233	4.52E-03
0.000364233	4.51E-03
0.000364233	4.51E-03
0.000361638	4.51E-03
0.000361638	4.50E-03
0.000361638	4.50E-03
0.000361638	4.50E-03
0.000361638	4.49E-03
0.000361638	4.49E-03
0.000361638	4.49E-03
0.000358037	4.49E-03
0.000358037	4.48E-03
0.000358037	4.48E-03
0.000358037	4.48E-03
0.000358037	4.47E-03
0.000358037	4.47E-03
0.000358037	4.47E-03
0.000358037	4.47E-03
0.000353409	4.47E-03
0.000353409	4.46E-03
0.000353409	4.46E-03
0.000353409	4.46E-03
0.000353409	4.46E-03
0.000353409	4.46E-03
0.000353409	4.45E-03
0.000353409	4.45E-03
0.000347726	4.45E-03
0.000347726	4.45E-03
0.000347726	4.45E-03
0.000347726	4.44E-03
0.000347726	4.44E-03
0.000347726	4.44E-03
0.000347726	4.44E-03
0.000340969	4.44E-03
0.000340969	4.44E-03
0.000340969	4.44E-03
0.000340969	4.44E-03
0.000340969	4.43E-03
0.000340969	4.43E-03
0.000340969	4.43E-03
0.000340969	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.000333106	4.43E-03
0.0003241	4.44E-03
0.0003241	4.44E-03
0.0003241	4.44E-03
0.0003241	4.44E-03
0.0003241	4.45E-03
0.0003241	4.45E-03
0.0003241	4.45E-03
0.0003241	4.46E-03
0.000313921	4.46E-03
0.000313921	4.46E-03
0.000313921	4.47E-03
0.000313921	4.47E-03
0.000313921	4.48E-03
0.000313921	4.48E-03
0.000313921	4.49E-03
0.000313921	4.50E-03
0.000302526	4.50E-03
0.000302526	4.51E-03
0.000302526	4.51E-03
0.000302526	4.51E-03
0.000302526	4.52E-03
0.000302526	4.52E-03
0.000302526	4.52E-03
0.000289868	4.52E-03
0.000289868	4.52E-03
0.000289868	4.52E-03
0.000289868	4.52E-03
0.000289868	4.52E-03
0.000289868	4.51E-03
0.000289868	4.51E-03
0.000289868	4.51E-03
0.000275885	4.50E-03
0.000275885	4.50E-03
0.000275885	4.49E-03
0.000275885	4.48E-03
0.000275885	4.47E-03
0.000275885	4.46E-03
0.000275885	4.45E-03
0.000260492	4.44E-03
0.000260492	4.43E-03
0.000260492	4.42E-03
0.000260492	4.41E-03
0.000260492	4.40E-03
0.000260492	4.38E-03
0.000260492	4.37E-03
0.000260492	4.35E-03
0.000243561	4.34E-03
0.000243561	4.32E-03
0.000243561	4.30E-03
0.000243561	4.28E-03
0.000243561	4.27E-03
0.000243561	4.25E-03
0.000243561	4.23E-03
0.000243561	4.21E-03
0.000224879	4.18E-03
0.000224879	4.16E-03
0.000224879	4.14E-03
0.000224879	4.11E-03
0.000224879	4.09E-03
0.000224879	4.06E-03
0.000224879	4.04E-03
0.000204063	4.01E-03
0.000204063	3.98E-03
0.000204063	3.95E-03
0.000204063	3.93E-03
0.000204063	3.90E-03
0.000204063	3.87E-03
0.000204063	3.83E-03
0.000204063	3.80E-03
0.000180324	3.77E-03
0.000180324	3.74E-03
0.000180324	3.70E-03
0.000180324	3.64E-03
0.000180324	3.57E-03
0.000180324	3.49E-03
0.000180324	3.40E-03
0.000151677	3.29E-03
0.000151677	3.16E-03
0.000151677	3.03E-03
0.000151677	2.88E-03
0.000151677	2.71E-03
0.000151677	2.54E-03
0.000151677	2.34E-03
0.000151677	2.14E-03
0.000102558	1.92E-03
0.000102558	1.69E-03
0.000102558	1.44E-03
0.000102558	1.18E-03
0.000102558	9.05E-04
0.000102558	6.16E-04
0.000102558	3.15E-04
