3.08E-02	8.59E-01
3.10E-02	8.57E-01
3.11E-02	8.55E-01
3.13E-02	8.54E-01
3.15E-02	8.52E-01
3.16E-02	8.51E-01
3.18E-02	8.49E-01
3.19E-02	8.47E-01
3.21E-02	8.45E-01
3.22E-02	8.43E-01
3.24E-02	8.41E-01
3.25E-02	8.39E-01
3.27E-02	8.36E-01
3.28E-02	8.34E-01
3.30E-02	8.32E-01
3.32E-02	8.29E-01
3.33E-02	8.26E-01
3.35E-02	8.23E-01
3.36E-02	8.21E-01
3.38E-02	8.18E-01
3.39E-02	8.15E-01
3.41E-02	8.11E-01
3.42E-02	8.08E-01
3.44E-02	8.05E-01
3.45E-02	8.01E-01
3.47E-02	7.98E-01
3.48E-02	7.94E-01
3.50E-02	7.90E-01
3.52E-02	7.87E-01
3.53E-02	7.83E-01
3.55E-02	7.79E-01
3.56E-02	7.74E-01
3.58E-02	7.70E-01
3.59E-02	7.66E-01
3.61E-02	7.62E-01
3.62E-02	7.57E-01
3.64E-02	7.52E-01
3.65E-02	7.48E-01
3.67E-02	7.43E-01
3.69E-02	7.38E-01
3.70E-02	7.33E-01
3.72E-02	7.28E-01
3.73E-02	7.25E-01
3.75E-02	7.22E-01
3.76E-02	7.15E-01
3.78E-02	7.04E-01
3.79E-02	6.97E-01
3.81E-02	6.90E-01
3.82E-02	6.79E-01
3.84E-02	6.65E-01
3.86E-02	6.44E-01
3.87E-02	6.27E-01
3.89E-02	6.13E-01
3.90E-02	5.98E-01
3.92E-02	5.74E-01
3.93E-02	5.39E-01
3.95E-02	4.82E-01
3.96E-02	0.00E+00
8.00E-02	0.00E+00
